Baierbrunn,8000781,6,Baierbrunn
Baiersdorf,8000783,5,Baiersdorf
Baitz,8011100,6,Brück
Balbersdorf,8000784,7,Waffenbrunn (Balbersdorf)
Baldham,8000785,5,Vaterstetten
Balduinstein,8000786,6,Balduinstein
Balgheim,8000787,7,Balgheim
Balgstädt,8011103,7,Balgstädt
Balingen (Württ),8000353,4,Balingen 
Balingen Süd,8000788,6,Balingen 
Ballstädt (Kr Gotha),8011106,7,Ballstädt
Baltersweiler,8000792,6,Namborn
Balve,8000793,6,Balve
Bamberg,8000025,2,Bamberg
Bammental,8000794,6,Bammental
Banteln,8000796,6,Gronau  OT Banteln
Bantorf,8000797,5,Barsinghausen
Barbelroth,8000802,7,Barbelroth
Bardowick,8000801,6,Bardowick
Bärenhecke-Johnsbach,8011091,7,Glashütte-Bärenhecke
Bärenklau,8011093,7,Oberkrämer-Bärenklau
Bärenstein (b Glashütte/Sachs),8011095,6,Kurort Altenberg-Bärenst
Bargteheide,8000804,4,Bargteheide
Barleben,8011111,6,Barleben
Barleber See,8011112,6,Barleben
Barmbek (S-Bahn),8000805,4,Hamburg
Barnstorf (Han),8000807,5,Barnstorf
Barnten,8000808,6,Nordstemmen OT Barnten
Barrien,8000810,6,Syke
Barsinghausen,8000812,5,Barsinghausen
Barthmühle,8011115,6,Pöhl
Baruth (Mark),8011116,6,Baruth (Mark) 
Bassum,8000354,5,Bassum
Batzenhäusle,8000821,6,Waldkirch
Batzhausen,8000822,6,Seubersdorf
Bäumenheim,8000778,6,Bäumenheim
Baumschulenweg,8089004,4,Berlin
Baunach,8000826,7,Baunach
Baunatal-Guntershausen,8000140,5,Baunatal-Guntershausen
Baunatal-Rengershausen,8005039,6,Baunatal-Rengershausen
Bautzen,8010026,4,Bautzen
Bavendorf,8000827,7,Thomasburg
Bayerisch Eisenstein,8000830,6,Bayerisch Eisenstein
Bayerisch Gmain,8000831,6,Bayerisch Gmain
Bayerwerk,8000832,5,Köln
Bayreuth Hbf,8000028,3,Bayreuth
Bayrischzell,8000834,6,Bayrischzell
Bebitz,8011119,7,Könnern
Bebra,8000029,3,Bebra
Beckingen (Saar),8000840,6,Beckingen (Saar)
Bedburg (Erft),8000030,6,Bedburg (Erft)
Bedburg-Hau,8000842,6,Bedburg-Hau
Beelen,8000846,6,Beelen
Beelitz Stadt,8013468,6,Beelitz Stadt
Beelitz-Heilstätten,8013467,6,Beelitz
Beerfelden-Hetzbach,8002815,6,Oberzent
Beeskow,8010029,6,Beeskow
Beetz-Sommerfeld,8011125,6,Kremmen-Beetz
Beetz-Sommerfeld,8011125,6,Kremmen-Beetz
Behringersdorf,8000850,6,Schwaig
Beienheim,8000851,6,Reichelsheim (Wetterau)
Beilrode,8011131,6,Beilrode
Beimerstetten,8000858,6,Beimerstetten
Beldorf,8000860,7,Beldorf
Belgershain,8011132,6,Belgershain
Belleben,8011133,7,Könnern
Bellenberg,8000862,6,Bellenberg
Bellevue,8089005,4,Berlin
Bellheim,8000863,6,Bellheim
Bellheim Am Mühlbuckel,8000861,6,Bellheim
Belzig,8010031,5,Belzig
Bempflingen,8000865,6,Bempflingen
Benediktbeuern,8000869,6,Benediktbeuern
Bengel,8000870,6,Bengel
Bennemühlen,8000871,5,Wedemark
Bennewitz,8013362,6,Bennewitz
Bennigsen,8000872,5,Springe
Benningen (Neckar),8000873,5,Benningen am Neckar
Bennungen,8011138,6,Bennungen
Benshausen,8011139,7,Benshausen
Bensheim,8000031,4,Bensheim
Bensheim-Auerbach,8000877,5,Bensheim
Bentwisch,8011140,6,Bentwisch
Beratzhausen,8000882,5,Beratzhausen
Berchtesgaden Hbf,8000885,5,Berchtesgaden
Berg (Pfalz),8000890,7,Berg
Berga (Elster),8011144,6,Berga/Elster
Berga-Kelbra,8010032,6,Berga
Bergen (Oberbay),8000888,5,Bergen 
Bergen auf Rügen,8010033,3,Bergen (Rügen)
Bergenweiler,8000889,7,Sontheim an der Brenz
Bergfelde (b Berlin),8080100,4,Hohen Neuendorf
Berghausen,8000892,7,Bad Berleburg
Berghausen (Pfalz),8000894,6,Römerberg
Bergheim (Erft),8000355,6,Bergheim 
Bergisch Gladbach,8000899,6,Bergisch Gladbach
Bergsdorf,8011149,7,Zehdenick
Bergtheim,8000902,6,Bergtheim
Bergwitz,8011150,6,Kemberg
Beringhausen,8000904,7,Marsberg
Beringstedt,8000905,7,Beringstedt
Berkenbrück,8011154,6,Berkenbrück
Berlin Anhalter Bahnhof,8089002,3,Berlin
Berlin Brandenburger Tor,8089044,4,Berlin
Berlin Frankfurter Allee,8089013,4,Berlin
Berlin Hauptbahnhof,8011160,1,Berlin
Berlin Hauptbahnhof–Lehrter Bahnhof,8011160,1,Berlin
Berlin Hauptbahnhof–Lehrter Bahnhof,8011160,1,Berlin
Berlin Hauptbahnhof–Lehrter Bahnhof,8011160,1,Berlin
Berlin Ostbahnhof,8010255,1,Berlin
Berlin Potsdamer Platz,8011118,2,Berlin
Berlin Südkreuz,8011113,1,Berlin
Berlin Zoologischer Garten,8010406,2,Berlin
Berlin-Adlershof,8089052,4,Berlin
Berlin-Blankenburg,8089056,4,Berlin
Berlin-Buch,8089057,4,Berlin
Berlin-Charlottenburg,8010403,3,Berlin
Berlin-Friedrichshagen,8089060,4,Berlin
Berlin-Friedrichstraße,8011306,2,Berlin
Berlin-Friedrichstraße,8011306,2,Berlin
Berlin-Frohnau,8089061,4,Berlin
Berlin-Gesundbrunnen,8011102,1,Berlin
Berlin-Gesundbrunnen,8011102,1,Berlin
Berlin-Gesundbrunnen,8011102,1,Berlin
Berlin-Grünau,8089063,4,Berlin
Berlin-Grunewald,8089062,4,Berlin
Berlin-Halensee,8089109,4,Berlin
Berlin-Hermsdorf,8089064,4,Berlin
Berlin-Hohenschönhausen,8011901,4,Berlin
Berlin-Hohenschönhausen,8011901,4,Berlin
Berlin-Karlshorst,8010035,3,Berlin
Berlin-Karow,8011046,4,Berlin
Berlin-Kaulsdorf,8089068,4,Berlin
Berlin-Köpenick,8089069,4,Berlin
Berlin-Lichtenberg,8010036,2,Berlin
Berlin-Lichterfelde Ost,8011041,3,Berlin
Berlin-Lichterfelde West,8089071,4,Berlin
Berlin-Mahlsdorf,8011343,4,Berlin
Berlin-Marienfelde,8089074,5,Berlin
Berlin-Marzahn,8089075,4,Berlin
Berlin-Neukölln,8089077,4,Berlin
Berlin-Nordbahnhof,8089024,4,Berlin
Berlin-Pankow,8089080,5,Berlin
Berlin-Rummelsburg,8089084,4,Berlin
Berlin-Rummelsburg,8089084,4,Berlin
Berlin-Rummelsburg,8089084,4,Berlin
Berlin-Schlachtensee,8089085,4,Berlin
Berlin-Schönefeld Flughafen,8010109,3,Schönefeld
Berlin-Schöneweide Pbf,8010041,3,Berlin
Berlin-Schönholz,8089087,4,Berlin
Berlin-Spandau,8010404,2,Berlin
Berlin-Spindlersfeld,8089088,5,Berlin
Berlin-Staaken,8013021,6,Berlin
Berlin-Staaken,8013021,6,Berlin
Berlin-Tegel,8089089,5,Berlin
Berlin-Tempelhof,8089090,4,Berlin
Berlin-Wannsee,8010405,2,Berlin
Berlin-Wannsee ARZ,8010405,2,Berlin
Berlin-Westkreuz,8089047,3,Berlin
Berlin-Westkreuz,8089047,3,Berlin
Berlin-Westkreuz,8089047,3,Berlin
Berlin-Wilhelmsruh,8089095,5,Berlin
