Hannover-Linden,8002586,4
Hannover-Messe / Laatzen,8003487,4
Hannover-Messe / Laatzen,8003487,4
Hannover-Messe / Laatzen,8003487,4
Hannover-Nordstadt,8079095,4
Harburg Rathaus (S-Bahn),8004267,3
Hasselbrook (S-Bahn),8002628,4
Hasselbrook (S-Bahn),8002628,4
Haßloch (Pfalz),8002632,4
Haste (Han),8002634,4
Hausach,8000333,4
Heide (Holst),8000155,3
Heidelberg Hbf,8000156,2
Heidelberg Karlstor,8002685,4
Heidelberg-Altstadt,8002685,4
Heidelberg-Kirchheim/Rohrbach,8002686,4
Heidelberg-Pfaffengrund/Wieblingen,8002687,4
Heidelberg-Pfaffengrund/Wieblingen,8002687,4
Heidelberger Platz,8089112,4
Heidenau,8010163,4
Heidenheim,8002689,4
Heilbad Heiligenstadt,8011849,4
Heilbronn Hbf,8000157,2
Heilbronn Hbf,8000157,2
Heilbronn Hbf,8000157,2
Heiligensee,8089025,4
Heimfeld (S-Bahn),8006749,4
Helmstedt,8000159,4
Hennef (Sieg),8002753,4
Hennigsdorf (b Berlin),8013483,3
Herborn (Dillkr),8000161,4
Herford,8000162,2
Hermannstraße,8089105,4
Herne,8000164,3
Herrenberg,8002785,3
Hersbruck (rechts Pegnitz),8002794,4
Herzogenrath,8002806,3
Herzogenrath,8002806,3
Hilden,8000388,4
Hildesheim Hbf,8000169,2
Hirschhorn (Neckar),8002857,4
Hochkamp (S-Bahn),8002873,4
Hochspeyer,8002875,4
Hockenheim,8002883,4
Hof Hbf,8002924,3
Hofgeismar,8002933,4
Hofheim (Taunus),8002935,4
Hoheneichen (S-Bahn),8002946,4
Hoheneichen (S-Bahn),8002946,4
Hohenzollerndamm,8089108,4
Holstenstraße (S-Bahn),8002550,4
Holzkirchen,8002980,3
Holzminden,8000391,4
Homburg (Saar) Hbf,8000176,3
Hoppegarten (Mark),8080750,4
Horb,8000177,3
Horrem,8000178,3
Horrem,8000178,3
Hückelhoven-Baal,8000677,4
Hude,8000522,4
Humboldthain,8089018,4
Hürth-Kalscheuren,8003160,4
Husum,8000181,3
Ibbenbüren,8003036,4
Idar-Oberstein,8003040,4
Immendingen,8000182,4
Immenstadt,8003065,4
Ingelheim,8003075,4
Ingolstadt Hbf,8000183,2
Ingolstadt Nord,8003076,3
Innsbrucker Platz,8089106,4
Ismaning,8003092,4
Itzehoe,8003102,3
Jannowitzbrücke,8089019,4
Jena Paradies,8011956,3
Jena West,8011957,3
Jena-Göschwitz,8010133,4
Jungfernheide,8011167,4
Jungfernheide,8011167,4
Jungfernstieg (S-Bahn),8003137,4
Jungfernstieg (S-Bahn),8003137,4
Jüterbog,8010182,4
Kahl (Main),8003143,4
Kaiserslautern Hbf,8000189,2
Kamen,8003168,4
Karlsruhe Hbf,8000191,1
Karlsruhe-Durlach,8003184,3
Karlsruhe-Durlach,8003184,3
Karlstadt (Main),8003189,4
Karthaus,8000402,4
Kassel Hbf,8000193,2
Kassel-Wilhelmshöhe,8003200,2
Kaufbeuren,8000194,4
Kaufering,8000195,4
Kehl,8003218,4
Kehl,8003218,4
Keitum,8003222,4
Kempten (Allgäu) Hbf,8000197,3
Kettwig,8000198,4
Kiefersfelden,8003249,4
Kiel Hbf,8000199,2
Kiel Hbf,8000199,2
Kirchenlaibach,8000201,4
Kirchhain (Bz Kassel),8000435,4
Kirchheim (Teck),8003280,4
Kirchseeon,8003290,4
Kirchseeon,8003290,4
Kirchweyhe,8003292,4
Kissing,8003299,4
Klein Flottbek (S-Bahn),8003312,4
Koblenz Hbf,8000206,2
Koblenz Stadtmitte,8003341,4
Köln Frankfurter Straße,8003358,4
Köln Frankfurter Straße,8003358,4
Köln Geldernstr/Parkgürtel,8003360,4
Köln Hansaring,8003392,4
Köln Hbf,8000207,1
Köln Steinstraße,8003379,4
Köln Süd,8003361,4
Köln Trimbornstrasse,8003320,4
Köln West,8003363,4
Köln-Chorweiler,8003365,4
Köln-Chorweiler Nord,8003366,4
Köln-Dellbrück,8003367,4
Köln-Deutz,8003368,1
Köln-Deutz,8003368,1
Köln-Deutz,8003368,1
Köln-Ehrenfeld,8000208,3
Köln-Ehrenfeld,8000208,3
Köln-Ehrenfeld,8000208,3
Köln-Hansaring,8003392,4
Köln-Longerich,8003371,4
Köln-Mülheim,8000209,3
Köln-Trimbornstrasse,8003320,4
Königs Wusterhausen,8010193,4
Königslutter,8003382,4
Königstraße (S-Bahn),8006706,4
Königstraße (S-Bahn),8006706,4
Königswinter,8003386,4
Konstanz,8003400,3
Korntal,8003409,4
Kornwestheim Pbf,8003411,3
Köthen,8010195,3
Krefeld Hbf,8000211,3
Krefeld-Oppum,8000212,4
Kreiensen,8000213,4
Kreuztal,8000214,4
Kriftel,8003442,4
Krupunder (S-Bahn),8003460,4
Kulmbach,8003476,4
Lahr (Schwarzw),8003494,4
Lambrecht (Pfalz),8003497,4
Lampertheim,8003503,4
Landau (Pfalz) Hbf,8000216,4
Landsberger Allee,8089020,4
Landshut (Bay) Hbf,8000217,2
Landstuhl,8003515,3
Landungsbrücken (S-Bahn),8003518,4
Landwehr (S-Bahn),8003519,4
Lang Göns,8003520,4
Langen (Hess),8003523,4
Langenfelde (S-Bahn),8003541,4
Langenhagen Pferdemarkt,8003542,4
Langenhagen-Mitte,8003545,3
Langenselbold,8003550,4
Langwedel,8000586,4
Lauda,8000221,4
Lauffen (Neckar),8003588,4
Laupheim West,8003592,4
Leer (Ostfriesl),8000225,3
Lehrte,8000226,3
Leinefelde,8010203,3
Leinfelden,8003622,4
Leipzig Hbf,8010205,1
Leipzig Messe,8012478,3
Leipzig Neue Messe,8012478,3
Leipzig-Gohlis,8012188,4
Leipzig-Möckern,8012193,4
Lennestadt-Altenhundem,8000532,4
Leonberg,8003652,4
Letmathe,8000227,4
Leverkusen Mitte,8006713,4
Leverkusen Mitte,8006713,4
Lichtenfels,8000228,3
Lichtenhagen,8012221,4
Limburg (Lahn),8000229,3
Limburg Süd,8003680,4
Limburgerhof,8003687,4
Lindau Hbf,8000230,3
Lindern,8003697,4
Lingen (Ems),8003701,4
Linz (Rhein),8003708,4
Lippstadt,8000571,4
Löbau (Sachs),8010212,4
Lochham,8003720,4
Löhne (Westf),8000233,4
Lörrach,8003729,4
Lörrach Hbf,8003729,4
Lübben (Spreewald),8010217,4
Lübbenau (Spreewald),8010220,4
Lübeck Hbf,8000237,2
Ludwigsburg,8000235,3
Ludwigsfelde,8010215,4
Ludwigshafen (Rhein) Hbf,8000236,2
Ludwigshafen (Rhein) Hbf,8000236,2
Ludwigshafen (Rhein) Mitte,8003759,3
Ludwigshafen (Rhein) Mitte,8003759,3
Ludwigshafen-Oggersheim,8003766,4
Ludwigslust,8010216,4
Lüneburg,8000238,2
Lüneburg,8000238,2
Lünen Hbf,8000239,4
Lutherstadt Wittenberg,8010222,3
Magdeburg Hbf,8010224,2
Magdeburg-Buckau,8013456,4
Magdeburg-Neustadt,8010226,4
Maintal Ost,8002877,4
Mainz Hbf,8000240,2
Mainz Römisches Theater,8003816,3
Mainz Süd,8003816,3
Mainz-Bischofsheim,8000241,4
Mainz-Bischofsheim,8000241,4
Mainz-Gustavsburg,8003818,4
Mainz-Kastel,8000615,4
Maisach,8003824,4
Mammendorf-Nannhofen,8004204,4
Mammendorf-Nannhofen,8004204,4
Mannheim Hbf,8000244,2
Mannheim-Friedrichsfeld,8000631,4
Mannheim-Friedrichsfeld Süd,8003842,4
Mannheim-Neckarau,8003844,4
Mannheim-Seckenheim,8003847,4
Mannheim-Waldhof,8003848,4
Marbach (Neckar),8003853,4
Marburg (Lahn),8000337,2
Markt Schwaben,8003879,3
Marktredwitz,8000247,3
Meckenbeuren,8003930,4
Meckesheim,8003932,4
Meiningen,8010230,4
Melle,8003956,4
Memmingen,8000249,3
Mering,8003982,3
Mering-St Afra,8004008,4
Merseburg,8010232,4
Merzig (Saar),8003992,4
Meschede,8003993,4
Messe Nord / ICC (Witzleben),8089110,4
Metzingen,8004009,4
Mexikoplatz,8089023,4
Michendorf,8010233,4
Mindelheim,8000338,4
Minden (Westf),8000252,3
Mittenwald,8004043,4
Mittenwald,8004043,4
Mittlerer Landweg (S-Bahn),8004048,4
Mittlerer Landweg (S-Bahn),8004048,4
Mönchengladbach Hbf,8000253,2
Montabaur,8000667,4
Montabaur,8000667,4
Moosburg,8004084,4
Mörfelden,8004065,4
Mosbach-Neckarelz,8000264,3
Mühlacker,8000339,4
Mühlhausen (Thür),8010235,4
Mühlheim (Main),8004112,4
Mülheim (Ruhr) Hbf,8000259,3
Mülheim (Ruhr)-Styrum,8000687,3
Müllheim (Baden),8004124,4
München Donnersbergerbrücke,8004128,3
München Harras,8004130,4
München Hbf tief,8000261,1
München Hbf,8000261,1
München Hbf,8000261,1
München Hbf,8000261,1
München Heimeranplatz,8005419,4
München Heimeranplatz,8005419,4
München Isartor,8004131,4
München Karlsplatz,8004132,3
München Leuchtenbergring,8004134,4
München Marienplatz,8004135,3
