Bredstedt,4,Bredstedt,"{'type': 'Point', 'coordinates': [8.970336, 54.621166]}"
Bremen Hbf,2,Bremen,"{'type': 'Point', 'coordinates': [8.813834, 53.083481]}"
Bremen-Burg,4,Bremen,"{'type': 'Point', 'coordinates': [8.704773, 53.160288]}"
Bremen-Mahndorf,4,Bremen,"{'type': 'Point', 'coordinates': [8.944627, 53.039762]}"
Bremen-Walle,4,Bremen,"{'type': 'Point', 'coordinates': [8.786241, 53.103792]}"
Bremerhaven Hbf,3,Bremerhaven,"{'type': 'Point', 'coordinates': [8.599555, 53.534912]}"
Bretten,4,Bretten,"{'type': 'Point', 'coordinates': [8.693448, 49.0369]}"
Bruchsal,2,Bruchsal,"{'type': 'Point', 'coordinates': [8.589649, 49.124622]}"
Brühl,4,Brühl,"{'type': 'Point', 'coordinates': [6.912718, 50.829249]}"
Brühl,4,Brühl,"{'type': 'Point', 'coordinates': [6.912718, 50.829249]}"
Büchen,3,Büchen,"{'type': 'Point', 'coordinates': [10.623298, 53.474972]}"
Buchholz (Nordheide),3,Buchholz i.d.Nordheide,"{'type': 'Point', 'coordinates': [9.876266, 53.324683]}"
Buchloe,3,Buchloe,"{'type': 'Point', 'coordinates': [10.716217, 48.033723]}"
Bückeburg,4,Bückeburg,"{'type': 'Point', 'coordinates': [9.047796, 52.267637]}"
Bullay DB,4,Bullay,"{'type': 'Point', 'coordinates': [7.134584, 50.05446]}"
Bünde (Westf),4,Bünde ,"{'type': 'Point', 'coordinates': [8.573876, 52.202075]}"
Bundesplatz,4,Berlin,"{'type': 'Point', 'coordinates': [13.32959, 52.477617]}"
Burg (b Magdeburg),4,Burg,"{'type': 'Point', 'coordinates': [11.840356, 52.274406]}"
Burgdorf (Han),4,Burgdorf ,"{'type': 'Point', 'coordinates': [10.002837, 52.448708]}"
Dedensen / Gümmer,4,Seelze,"{'type': 'Point', 'coordinates': [9.521252, 52.407049]}"
Deisenhofen,4,Oberhaching,"{'type': 'Point', 'coordinates': [11.583597, 48.019539]}"
Delitzsch unt Bf,4,Delitzsch,"{'type': 'Point', 'coordinates': [12.345218, 51.525227]}"
Delmenhorst,3,Delmenhorst,"{'type': 'Point', 'coordinates': [8.629758, 53.052792]}"
Denzlingen,4,Denzlingen,"{'type': 'Point', 'coordinates': [7.881434, 48.068625]}"
Dessau Hauptbahnhof,3,Dessau-Roßlau,"{'type': 'Point', 'coordinates': [12.234945, 51.839865]}"
Dieburg,4,Dieburg,"{'type': 'Point', 'coordinates': [8.839795, 49.90369]}"
Diepholz,4,Diepholz,"{'type': 'Point', 'coordinates': [8.380334, 52.604771]}"
Dillenburg,4,Dillenburg,"{'type': 'Point', 'coordinates': [8.294088, 50.734883]}"
