Frankfurt (Main) Hbf,8000105,1,Frankfurt am Main
Frankfurt (Main) Konstablerwache,8004429,3,Frankfurt am Main
Frankfurt (Main) Lokalbahnhof,8002038,4,Frankfurt am Main
Frankfurt (Main) Mühlberg,8002034,4,Frankfurt am Main
Frankfurt (Main) Niederrad,8002050,3,Frankfurt am Main
Frankfurt (Main) Ostendstraße,8002058,3,Frankfurt am Main
Frankfurt (Main) Sportfeld,8002040,3,Frankfurt am Main
Frankfurt (Main) Stresemannallee,8002059,4,Frankfurt am Main
Frankfurt (Main) Süd,8002041,2,Frankfurt am Main
Frankfurt (Main) Taunusanlage,8006691,3,Frankfurt am Main
Frankfurt (Main) West,8002042,3,Frankfurt am Main
Frankfurt (Main) West,8002042,3,Frankfurt am Main
Frankfurt (Oder),8010113,3,Frankfurt (Oder)
Frankfurt (Oder),8010113,3,Frankfurt (Oder)
Frankfurt am Main Flughafen Fernbahnhof,8070003,3,Frankfurt am Main
Frankfurt am Main Messe,8079632,4,Frankfurt am Main
Frankfurt am Main Stadion,8002040,3,Frankfurt am Main
Frankfurt-Frankfurter Berg,8002044,4,Frankfurt am Main
Frankfurt-Griesheim,8002046,4,Frankfurt am Main
Frankfurt-Höchst,8000106,3,Frankfurt am Main
Frankfurt-Louisa,8002047,4,Frankfurt am Main
Frankfurt-Rödelheim,8002052,3,Frankfurt am Main
Freiberg (Sachs),8010115,4,Freiberg 
Freiburg (Breisgau) Hbf,8000107,2,Freiburg
Freilassing,8000108,3,Freilassing
Freinsheim,8000374,4, Freinsheim
Freising,8002078,3,Freising
Freital-Deuben,8011569,4,Freital
Friedberg (Hess),8000111,3,Friedberg (Hessen)
Friedenau,8089058,4,Berlin
Friedrichsberg (S-Bahn),8002106,4,Hamburg
Friedrichsdorf (Taunus),8002108,4,Friedrichsdorf (Taunus)
Friedrichsfelde Ost,8089059,4,Berlin
Friedrichshafen Stadt,8000112,3,Friedrichshafen
Fröndenberg,8000113,4,Fröndenberg (Ruhr)
Fulda,8000115,2,Fulda
Fürstenfeldbruck,8002141,4,Fürstenfeldbruck
