Bf-Nr;Bahnhof;DS 100;Aufgaben­träger;Bahnhofs­kategorie 2015;Bahnhofs­kategorie 2005;Bundes­land;Regional­bereich;Stations­preis 2015 [€];Stations­preis 2005 [€];Veränderung 2005–2015 [%]
172;Arenshausen;UAR;NVS;6;6;Thüringen;Südost;4,2;1,78;57,62
173;Arfurt (Lahn);FAF;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
174;Arloff;KARL;NVR;6;6;Nordrhein-Westfalen;West;4,3;2,79;35,12
175;Armsheim;FARM;ZPNV Süd;5;5;Rheinland-Pfalz;Mitte;3,17;1,73;45,43
176;Arnbach;MANB;BEG;7;6;Bayern;Süd;2,41;2,01;16,6
177;Arnsberg (Westf);EARB;NWL;4;5;Nordrhein-Westfalen;West;5,35;2,83;47,1
178;Arnschwang;NARG;BEG;7;6;Bayern;Süd;2,41;2,01;16,6
179;Arnsdorf (b Dresden);DAF;VVO;5;5;Sachsen;Südost;2,41;3,81;–58,09
180;Arnstadt Hbf;UA;NVS;4;5;Thüringen;Südost;5,59;4,22;24,51
181;Arnstadt Süd;UASD;NVS;6;6;Thüringen;Südost;4,2;1,78;57,62
184;Arsbeck;KARS;NVR;7;6;Nordrhein-Westfalen;West;2,1;2,79;–32,86
185;Artern;UAT;NVS;6;5;Thüringen;Südost;4,2;4,22;–0,48
186;Arzberg (Oberfr);NAZ;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
187;Aschaffenburg Hbf;NAH;BEG;2;2;Bayern;Süd;13,28;12,22;7,98
8142;Aschaffenburg Hochschule;;BEG;6;;Bayern;;3,34;;
188;Aschaffenburg Süd;NASU;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
190;Aschau (Chiemgau);MASC;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
191;Ascheberg (Holst);AAG;LVS;5;6;Schleswig-Holstein;Nord;4,66;2,56;45,06
192;Ascheberg (Westf);EASB;NWL;6;6;Nordrhein-Westfalen;West;4,1;2,79;31,95
193;Aschendorf;HASD;LNVG;6;6;Niedersachsen;Nord;4,62;2,61;43,51
194;Aschersleben Pbf;LAL;NASA;4;5;Sachsen-Anhalt;Südost;4,99;4,03;19,24
195;Ashausen;AASN;LNVG;6;6;Niedersachsen;Nord;4,62;2,61;43,51
196;Asperg;TAX;VRStutt;4;5;Baden-Württemberg;Südwest;3,48;2,31;33,62
197;Asselheim;RASH;ZPNV Süd;7;6;Rheinland-Pfalz;Mitte;1,76;1,47;16,48
197;Asselheim;RAS;ZPNV Süd;7;6;Rheinland-Pfalz;Mitte;1,76;1,47;16,48
198;Assenheim (Oberhess);FAS;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
199;Aßlar;FAL;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
200;Aßling (Oberbay);MAG;BEG;5;6;Bayern;Süd;3,17;2,01;36,59
201;Assmannshausen;FAH;RMV;5;6;Hessen;Mitte;2,83;2,32;18,02
202;Attendorn;EAT;NWL;6;6;Nordrhein-Westfalen;West;4,1;2,79;31,95
7966;Attendorn Hohen-Hagen;EHOH;NWL;7;6;Nordrhein-Westfalen;West;3,42;2,79;18,42
203;Attilastraße;BATS;VBB Berlin;5;4;Berlin;Ost;2,04;1,96;3,92
204;Au (Sieg);KAU;NVR;3;3;Nordrhein-Westfalen;West;5,9;5,81;1,53
207;Aue-Wingeshausen;EAWN;NWL;7;6;Nordrhein-Westfalen;West;3,42;2,79;18,42
208;Auehütte;UAE;NVS;7;6;Thüringen;Südost;3,34;1,78;46,71
209;Auerbach (b Mosbach);RACH;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
210;Auerbach (Vogtl) Hp;DAUH;ZVV;7;6;Sachsen;Südost;4,87;2,37;51,33
211;Auerbach (Vogtl) ob Bf;DAUO;ZVV;7;6;Sachsen;Südost;4,87;2,37;51,33
212;Auerbach (Vogtl) unt Bf;DAUU;ZVV;7;6;Sachsen;Südost;4,87;2,37;51,33
213;Auersmacher;SAM;VGS;5;6;Saarland;Mitte;1,66;1,25;24,7
214;Auerstedt;UAS;NVS;7;6;Thüringen;Südost;3,34;1,78;46,71
216;Aufhausen (b Erding);MAFE;BEG;6;5;Bayern;Süd;3,34;2,32;30,54
217;Aufhausen (Württ);TAUF;NVBW;7;6;Baden-Württemberg;Südwest;2,33;2,03;12,88
218;Auggen;RAUG;NVBW;5;6;Baden-Württemberg;Südwest;3,49;2,03;41,83
219;Augsburg Haunstetterstraße;MAHA;BEG;3;5;Bayern;Süd;5,81;2,32;60,07
220;Augsburg Hbf;MA;BEG;2;2;Bayern;Süd;13,28;12,22;7,98
7996;Augsburg Messe;MAGM;BEG;5;5;Bayern;Süd;3,17;2,32;26,81
222;Augsburg Morellstraße;MAMS;BEG;6;5;Bayern;Süd;3,34;2,32;30,54
223;Augsburg-Hochzoll;MAHZF;BEG;3;4;Bayern;Süd;5,81;1,44;75,22
223;Augsburg-Hochzoll;MAHZ;BEG;3;4;Bayern;Süd;5,81;1,44;75,22
224;Augsburg-Oberhausen;MAOB;BEG;4;5;Bayern;Süd;3,97;2,32;41,56
225;Augustfehn;HAUG;LNVG;5;5;Niedersachsen;Nord;4,97;2,75;44,67
2996;Aukrug;AAU;LVS;7;6;Schleswig-Holstein;Nord;2,26;2,56;–13,27
226;Aulendorf;TAU;NVBW;4;3;Baden-Württemberg;Südwest;4,62;6,87;–48,7
228;Aumenau;FAUM;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
229;Aumühle;AAMS;LVS;4;5;Schleswig-Holstein;Nord;4,35;4,06;6,67
229;Aumühle;AAHF;LVS;4;5;Schleswig-Holstein;Nord;4,35;4,06;6,67
229;Aumühle;AAH;LVS;4;5;Schleswig-Holstein;Nord;4,35;4,06;6,67
230;Auringen-Medenbach;FAM;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
231;Außenried;NAUR;BEG;7;6;Bayern;Süd;2,41;2,01;16,6
232;Auw an der Kyll;SAUW;ZVRP Nord;6;6;Rheinland-Pfalz;Mitte;2,2;1,47;33,18
7581;AW Paderborn;EPD W;VRStutt;6;6;Nordrhein-Westfalen;West;1,53;2,79;–82,35
233;Aying;MAY;BEG;6;5;Bayern;Süd;3,34;2,32;30,54
236;Baalberge;LBB;NASA;6;6;Sachsen-Anhalt;Südost;4,07;1,97;51,6
8284;Baar-Ebenhausen;;BEG;6;;Bayern;;3,34;;
237;Babelsberg;BBAB;VBB;5;4;Brandenburg;Ost;4,08;2,74;32,84
238;Babenhausen (Hess);FBA;RMV;5;5;Hessen;Mitte;2,83;2,37;16,25
3564;Babenhausen Langstadt;;RMV;7;;Hessen;;2,27;;
239;Babstadt;RBST;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
240;Bacharach;FBCH;ZPNV Süd;4;6;Rheinland-Pfalz;Mitte;4,26;1,47;65,49
241;Bachern;MBCN;BEG;7;6;Bayern;Süd;2,41;2,01;16,6
242;Bachfeld;UB;NVS;7;6;Thüringen;Südost;3,34;1,78;46,71
243;Bachheim;RBH;NVBW;7;6;Baden-Württemberg;Südwest;2,33;2,03;12,88
244;Backnang;TB;NVBW;3;3;Baden-Württemberg;Südwest;6,43;6,87;–6,84
245;Bad Abbach;NBAB;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
246;Bad Aibling;MBAI;BEG;5;5;Bayern;Süd;3,17;2,32;26,81
630;Bad Aibling Kurpark;;BEG;6;;Bayern;;3,34;;
247;Bad Bellingen;RBEL;NVBW;6;5;Baden-Württemberg;Südwest;2,93;2,31;21,16
478;Bad Belzig;;VBB;5;;Brandenburg;;4,08;;
248;Bad Bentheim;HBTH;LNVG;4;5;Niedersachsen;Nord;5,93;2,75;53,63
7184;Bad Bergzabern;RBZB;ZPNV Süd;6;6;Rheinland-Pfalz;Mitte;2,08;1,47;29,33
249;Bad Berka;UBB;NVS;7;6;Thüringen;Südost;3,34;1,78;46,71
7999;Bad Berka Zeughausplatz;UBBZ;NVS;7;6;Thüringen;Südost;3,34;1,78;46,71
251;Bad Berleburg;EBLB;NWL;6;6;Nordrhein-Westfalen;West;4,1;2,79;31,95
253;Bad Bevensen;ABVS;LNVG;5;3;Niedersachsen;Nord;4,97;6,53;–31,39
256;Bad Blankenburg (Thüringerw);UBL;NVS;6;5;Thüringen;Südost;4,2;4,22;–0,48
257;Bad Bodendorf;KBOD;ZVRP Nord;6;5;Rheinland-Pfalz;Mitte;2,2;1,73;21,36
742;Bad Bodenteich;HBOD;LNVG;7;6;Niedersachsen;Nord;2,98;2,61;12,42
258;Bad Brambach;DBM;ZVV;6;6;Sachsen;Südost;4,03;2,37;41,19
259;Bad Breisig;KBRE;ZVRP Nord;5;5;Rheinland-Pfalz;Mitte;2,57;1,73;32,68
261;Bad Camberg;FCA;RMV;5;5;Hessen;Mitte;2,83;2,37;16,25
262;Bad Doberan;WDO;VMV;5;5;Mecklenburg-Vorpommern;Ost;5,08;9,03;–77,76
264;Bad Driburg (Westf);HBDG;NWL;6;6;Nordrhein-Westfalen;West;4,1;2,79;31,95
266;Bad Dürkheim;RBDH;ZPNV Süd;4;5;Rheinland-Pfalz;Mitte;4,26;1,73;59,39
267;Bad Dürkheim-Trift;RBDT;ZPNV Süd;6;6;Rheinland-Pfalz;Mitte;2,08;1,47;29,33
268;Bad Dürrenberg;LDBG;NASA;6;6;Sachsen-Anhalt;Südost;4,07;1,97;51,6
269;Bad Elster;DBEL;ZVV;7;6;Sachsen;Südost;4,87;2,37;51,33
271;Bad Ems;FEMS;ZVRP Nord;5;5;Rheinland-Pfalz;Mitte;2,57;1,73;32,68
272;Bad Ems West;FEMW;ZVRP Nord;6;6;Rheinland-Pfalz;Mitte;2,2;1,47;33,18
274;Bad Endorf (Oberbay);MBEF;BEG;4;3;Bayern;Süd;3,97;8,54;–115,11
1760;Bad Fallingbostel;;LNVG;5;;Niedersachsen;;4,97;;
275;Bad Frankenhausen (Kyffh);UBFR;BEG;4;6;Thüringen;Südost;3,97;1,78;55,16
276;Bad Freienwalde (Oder);WFW;VBB;7;5;Brandenburg;Ost;3,02;6,95;–130,13
277;Bad Friedrichshall Hbf;TBF;NVBW;3;4;Baden-Württemberg;Südwest;6,43;1,47;77,14
278;Bad Friedrichshall-Kochendorf;TBK;NVBW;6;5;Baden-Württemberg;Südwest;2,93;2,31;21,16
279;Bad Gandersheim;HBGM;LNVG;6;6;Niedersachsen;Nord;4,62;2,61;43,51
280;Bad Griesbach;RBGR;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
2289;Bad Grönenbach;MGNB;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
281;Bad Harzburg;HBHA;ZGB;3;5;Niedersachsen;Nord;8,78;2,75;68,68
282;Bad Hersfeld;FBHF;NVV;3;3;Hessen;Mitte;10,19;4,65;54,37
2886;Bad Holzhausen;HHZH;NWL;6;6;Nordrhein-Westfalen;West;4,1;2,79;31,95
284;Bad Homburg;FHO;RMV;3;4;Hessen;Mitte;4,66;1,85;60,3
285;Bad Honnef (Rhein);KHBD;NVR;5;5;Nordrhein-Westfalen;West;3,54;2,83;20,06
286;Bad Hönningen;KHGB;ZVRP Nord;4;5;Rheinland-Pfalz;Mitte;5,26;1,73;67,11
287;Bad Karlshafen;HKRF;NVV;7;6;Hessen;Mitte;1,79;2,32;–29,61
288;Bad Kissingen;NBKI;BEG;5;5;Bayern;Süd;3,17;2,32;26,81
289;Bad Kleinen;WK;VMV;4;3;Mecklenburg-Vorpommern;Ost;5,36;18,8;–250,75
290;Bad Kohlgrub;MBKG;BEG;7;6;Bayern;Süd;2,41;2,01;16,6
291;Bad Kohlgrub Kurhaus;MBKK;BEG;7;6;Bayern;Süd;2,41;2,01;16,6
292;Bad König;FKI;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
6989;Bad König-Zell;;RMV;7;;Hessen;;2,27;;
294;Bad Kösen;UKO;NASA;5;5;Sachsen-Anhalt;Südost;4,16;4,03;3,13
295;Bad Köstritz;UBKZ;NVS;6;6;Thüringen;Südost;4,2;1,78;57,62
