Bahnhof,Bahnhofs-Nummer,Bahnhofs-Kategorie (2015)
Ramsbach Birkhof,5112,7

Rastow,5127,6

Rathenow Nord,5132,4

Raun,5146,7

Raunheim,5147,4

Reddelich,5163,7

Rehau,5176,6

Reichenbach (Vogtl) ob Bf,5187,4

Reichertshofen (Oberbay),5193,6

Reicholzheim,5195,6

Reinfeld (Holst),5201,5

Reinhardsbrunn-Friedrichroda,5202,6

Reistenhausen-Fechenbach,5210,6

Remscheid-Güldenwerth,5218,6

Remscheid-Lennep,5219,5

Renzendorf,5232,7

Rethen (Leine),5234,6

Reuden (Kr Zeitz),5236,5

Reutlingen-Sondelfingen,5245,6

Rhade,5246,6

Rheinsberg (Mark),5255,5

Rheinsheim,5256,6

Richen (b Eppingen),5266,6

Rickling,4815,6

Rieschweiler,5277,7

Rieseby,5278,6

Ringenwalde (b Templin),5284,6

Rinteln,5289,6

Rippberg,5290,6

Ritze,5294,6

Röderau,5308,6

Rodgau-Jügesheim,3066,5

Rohrbach (Ilm),6874,5

Rommerskirchen,5334,5

Ronneburg (Thür),5336,6

Ronnenberg (Han),5337,5

Rosenwinkel,5349,2

Roßleben,5359,4

Roßwein,5364,6

Rostock Evershagen,1741,4

Rostock Hinrichsdorfer Straße,5366,2

Rostock Seehafen Nord,5370,4

Rostock-Dierkow,5372,5

Rostock-Marienehe,5373,4

Rostock-Seehafen Bw,7880,6

Rostock-Toitenwinkel,5374,4

Rot am See,5376,4

Röthenbach (Oberpf),5388,7

Röthenbach (Pegnitz),5389,6

Röthenbach-Seespitz,5390,6

Rottleben (Kyffh),5403,7

Rottleberode,5404,7

Rübeland,5407,5

Rückersbacher Schlucht,5409,6

Runding,5433,6

Rutesheim,5443,5

Ruthenbeck,5444,7

Saarbrücken Messebahnhof,5452,2

Saarmund,5459,6

Saasen,5460,7

Salzbergen,5476,4

Salzgitter Bad,5478,6

Sandebeck,5496,7

Sanderbusch,5497,7

Sarnow,5509,7

Sassenroth,5511,7

Sassnitz,5513,6

Schafstädt,5531,7

Schalkau,5536,7

Scharzfeld,5549,7

Schelklingen,5556,6

Schemmerberg,5557,6

Schkeuditz,5574,5

Schleiz,5585,6

Schleiz West,5586,6

Schliersee,5597,6

Schmilka-Hirschmühle,5614,6

Schneeberg (b Amorbach),5625,6

Schoden-Ockfen,5631,6

Schönebeck-Bad Salzelmen,5649,6

Schöneck-Oberdorfelden,4633,6

Schöningen,5668,4

Schonungen,5672,6

Schönwald (Oberfr),5673,7

Schrobenhausen,5687,6

Schrozberg,5689,6

Schwäbisch Hall,5700,6

Schwanheide,5714,6

Schwedt (Oder) Mitte,7740,6

Schwelm West,5750,6

Schwenningen (Bay),5751,7

Schwenzin,5753,6

Schwerte (Ruhr),5763,4

Schwetzingen,5766,4

Seebergen,5781,6

Seelze Pbf,5795,4

Seerhausen,5796,6

Seifhennersdorf,5808,5

Seligenstadt (b Würzburg),5814,6

Sersheim,5830,5

Seubersdorf,5831,5

Siebenbrunn,5837,7

Siegen-Weidenau,5844,4

Sierksdorf,5846,6

Simmelsdorf-Hüttenbach,5860,6

Sinsheim (Elsenz) Hbf,5870,4

Sinsheim Museum,7178,6

Solingen Hbf,5879,6

Solingen-Grünewald,5778,5

Solingen-Mitte,5414,5

Söllingen (Braunschw),5887,6

Sömmerda,5895,4

Sondern,5896,6

Sondershausen Süd,5899,6

Sondershausen-Jecha,5900,6

Sontheim-Brenz,5906,6

Speyer Hbf,5923,4

Speyer Nord-West,1607,6

St Egidien,5936,5

St Wendel,5948,4

Stadtprozelten,5959,6

Staffelstein,5963,5

Stahringen,5964,6

Steinau (Straße),5986,5

Steinbach a Wald,5989,5

Steinbach-Hallenberg,5990,6

Steinhagen (Westf) Bielefelder Straße,3030,6

Steinhausen-Neuburg,5997,7

Steinheim (Westf),5999,6

Stendal-Stadtsee,6013,5

Stenn,6015,7

Sterbfritz,6017,7

Stockheim (Oberfr),6032,6

Stockstadt (Main),6034,6

Stockstadt (Rhein),6035,6

Stolberg (Harz),6036,6

Stößen,6046,6

Stotternheim,6047,6

Strausberg,6058,4

Strausberg Nord,6059,6

Stuttgart Universität,6076,4

Stuttgart-Vaihingen,6087,3

Sülstorf,6106,7

Sulz (Neckar),6107,5

Sülzbach,6108,6

Sulzbach (Main),6110,6

